"File","Action","Service","ControllerHits","Classification"
"app\Filament\Admin\Resources\ExclusiveProjectRequests\ExclusiveProjectRequestResource.php","completeContract","ExclusiveProjectService::class","10","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\ExclusiveProjectRequests\ExclusiveProjectRequestResource.php","exportContract","ExclusiveProjectService::class","10","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\ExclusiveProjectRequests\ExclusiveProjectRequestResource.php","rejectRequest","ExclusiveProjectService::class","10","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\GovernanceTemporaryPermissions\GovernanceTemporaryPermissionResource.php","revoke","GovernanceTemporaryPermissionService::class","0","THIN WRAPPER"
"app\Filament\Admin\Resources\GovernanceTemporaryPermissions\Pages\CreateGovernanceTemporaryPermission.php","handleRecordCreation","GovernanceTemporaryPermissionService::class","0","THIN WRAPPER"
"app\Filament\Admin\Resources\HrTeams\HrTeamResource.php","deleteTeam","TeamService::class","35","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\HrTeams\Pages\CreateHrTeam.php","handleRecordCreation","TeamService::class","35","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\HrTeams\Pages\EditHrTeam.php","deleteTeam","TeamService::class","35","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\HrTeams\Pages\EditHrTeam.php","handleRecordUpdate","TeamService::class","35","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\InventoryUnits\InventoryUnitResource.php","deleteUnit","ContractUnitService::class","9","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\InventoryUnits\Pages\EditInventoryUnit.php","deleteUnit","ContractUnitService::class","9","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\InventoryUnits\Pages\EditInventoryUnit.php","handleRecordUpdate","ContractUnitService::class","9","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\MarketingTasks\MarketingTaskResource.php","deleteTask","MarketingTaskService::class","4","ALREADY SHARED WITH LEGACY/API"
"app\Filament\Admin\Resources\MarketingTasks\MarketingTaskResource.php","markCompleted","MarketingTaskService::class","4","ALREADY SHARED WITH LEGACY/API"
